year,school_code,longitude,latitude
2017,05-11-3103-43,-90.738152,14.36249
2017,05-12-0863-43,-90.636032,14.409496
2017,05-13-0032-43,-91.316879,14.025105
2017,05-13-0035-43,-91.310303,13.987975
2017,05-13-0043-43,-91.281509,14.216624
2017,05-13-0054-43,-91.292526,14.127515
2017,05-13-0516-43,-91.372589,14.106099
2017,05-13-0528-43,-91.372513,14.083256
2017,05-13-0537-43,-91.400589,13.999795
2017,05-13-0542-43,-91.233986,14.124327
2017,05-13-0547-43,-91.305367,14.097438
2017,05-13-0553-43,-91.316032,14.148495
2017,05-13-0557-43,-91.35614,14.069312
2017,05-13-0653-43,-91.336327,14.149216
2017,06-01-0022-43,-90.279991,14.256062
2017,06-01-0027-43,-90.214211,14.306047
2017,06-01-0047-43,-90.290504,14.238881
2017,06-01-0459-43,-90.315872,14.290435
2017,06-01-1103-43,-90.353951,14.252865
2017,06-01-1104-43,-90.301979,14.269633
2017,06-01-1107-43,-90.231598,14.179538
2017,06-02-0004-43,-90.240273,14.19262
2017,06-02-0015-43,-90.367073,14.311998
2017,06-02-0039-43,-90.399025,14.330828
2017,06-02-0043-43,-90.359413,14.307639
2017,06-02-1048-43,-90.396042,14.316325
2017,06-02-1141-43,-90.399895,14.33031
2017,06-03-0002-43,-90.367607,14.433495
2017,06-03-0011-43,-90.325279,14.39848
2017,06-03-0013-43,-90.303589,14.385064
2017,06-03-0081-43,-90.39637,14.458677
2017,06-03-0085-43,-90.328163,14.393812
2017,06-03-0090-43,-90.314125,14.432562
2017,06-03-0093-43,-90.40023,14.471395
2017,06-04-0015-43,-90.062881,14.419522
2017,06-04-0019-43,-90.178543,14.342237
2017,06-04-0021-43,-90.083313,14.415982
2017,06-04-0054-43,-90.140884,14.358573
2017,06-04-0101-43,-90.19458,14.362783
2017,06-04-0102-43,-90.104065,14.358282
2017,06-04-0116-43,-90.245789,14.434579
2017,06-04-0123-43,-90.140884,14.358573
2017,06-05-0013-43,-90.129417,14.454366
2017,06-05-0019-43,-90.176033,14.476331
2017,06-05-0133-43,-90.218819,14.4611
2017,06-05-1137-43,-90.181625,14.473368
2017,06-05-1144-43,-90.115005,14.443602
2017,06-05-1993-43,-90.176064,14.475279
2017,06-06-0006-43,-90.256889,14.018992
2017,06-06-0010-43,-90.14402,14.201451
2017,06-06-0150-43,-90.124931,14.199201
2017,06-06-0152-43,-90.146416,14.172512
2017,06-06-0162-43,-90.107933,14.190042
2017,06-06-0422-43,-90.134224,14.076046
2017,06-07-0168-43,-90.266739,14.085137
2017,06-07-0170-43,-90.268356,14.056547
2017,06-07-0171-43,-90.278816,14.08503
2017,06-07-0174-43,-90.2379,14.092886
2017,06-07-0180-43,-90.241295,14.080496
2017,06-08-0031-43,-90.341698,14.12337
2017,06-08-0038-43,-90.309326,14.041279
2017,06-08-0081-43,-90.378471,14.12476
2017,06-08-0195-43,-90.36776,13.846924
2017,06-08-0198-43,-90.362755,13.968921
2017,06-08-0203-43,-90.408516,13.865014
2017,06-08-0204-43,-90.301041,13.965448
2017,06-08-0207-43,-90.374512,14.158271
2017,06-08-0209-43,-90.293617,13.832976
2017,06-08-0214-43,-90.287399,13.846747
2017,06-08-0219-43,-90.387573,13.985536
2017,06-08-0228-43,-90.359818,14.109884
2017,06-08-0232-43,-90.350502,14.138204
2017,06-08-0236-43,-90.340096,13.986504
2017,06-08-0238-43,-90.299606,13.960076
2017,06-08-0240-43,-90.36454,13.979629
2017,06-08-1822-43,-90.299759,13.822216
2017,06-08-1824-43,-90.37603,14.162474
2017,06-09-0016-43,-90.459625,14.059438
2017,06-09-0040-43,-90.521751,14.14792
2017,06-09-0270-43,-90.465805,14.010463
2017,06-09-0273-43,-90.491318,14.055081
2017,06-09-0289-43,-90.555054,14.130638
2017,06-09-0290-43,-90.551804,13.998994
2017,06-09-1145-43,-90.572937,14.075262
2017,06-10-0308-43,-90.283638,14.140503
2017,06-10-0310-43,-90.246529,14.182022
2017,06-10-0317-43,-90.294334,14.207287
2017,06-10-0330-43,-90.285233,14.163537
2017,06-10-1120-43,-90.273735,14.140148
2017,06-10-1121-43,-90.289284,14.105001
2017,06-10-1138-43,-90.27227,14.190934
2017,06-10-1197-43,-90.276695,14.169374
2017,06-10-1350-43,-90.291435,14.168847
2017,06-11-0014-43,-90.433128,14.070802
2017,06-12-0005-43,-90.370941,14.375091
2017,06-12-0006-43,-90.367752,14.39819
2017,06-12-0007-43,-90.356461,14.380603
2017,06-12-0352-43,-90.369698,14.408824
2017,06-12-0354-43,-90.382347,14.356862
2017,06-12-0355-43,-90.352631,14.390991
2017,06-12-0478-43,-90.376801,14.36341
2017,06-13-0013-43,-90.587067,14.221456
2017,06-13-0014-43,-90.467453,14.261096
2017,06-13-0016-43,-90.431969,14.191642
2017,06-13-0374-43,-90.463997,14.295943
2017,06-13-0379-43,-90.467766,14.271045
2017,06-13-0388-43,-90.567368,14.233598
2017,06-13-0389-43,-90.568619,14.199721
2017,06-13-0390-43,-90.561714,14.240088
2017,06-13-1085-43,-90.474426,14.224289
2017,06-13-1351-43,-90.469742,14.247787
2017,06-14-0005-43,-90.25528,14.402059
2017,06-14-0006-43,-90.233932,14.319208
2017,06-14-0399-43,-90.288857,14.329425
2017,06-14-0400-43,-90.261452,14.344057
2017,06-14-0405-43,-90.270714,14.398749
2017,06-14-0408-43,-90.288208,14.379732
2017,06-14-0445-43,-90.233498,14.351256
2017,07-01-0030-43,-91.137161,14.831455
2017,07-01-0035-43,-91.221428,14.80851
2017,07-01-0037-43,-91.172058,14.878904
2017,07-01-0039-43,-91.184814,14.870666
2017,07-01-0041-43,-91.161392,14.864612
2017,07-01-0054-43,-91.212624,14.814671
